Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mohammad Aadil Alam,2022-2022,8,7,90,-,90,5,2/21,18,6.00,18.0,-,-,5,-
Aarif Sheikh,2018-2024,33,7,72,-,79,3,1/2,26.33,6.58,24.0,-,-,10,-
Aasif Sheikh,2021-2024,37,-,0,-,-,-,-,-,-,-,-,-,22,8
DS Airee,2018-2024,57,32,545,3,566,28,4/18,20.21,6.23,19.4,-,-,24,-
KS Airee,2021-2022,10,10,205,-,222,15,3/15,14.8,6.49,13.6,-,-,-,-
PS Airee,2015-2022,12,-,0,-,-,-,-,-,-,-,-,-,5,1
Basir Ahamad,2022-2022,2,2,36,-,49,2,2/30,24.5,8.16,18.0,-,-,1,-
B Bhandari,2014-2023,36,-,0,-,-,-,-,-,-,-,-,-,12,8
S Bhari,2019-2021,9,9,168,-,211,8,2/22,26.37,7.53,21.0,-,-,-,-
A Bhattarai,2014-2014,1,1,18,-,12,1,1/12,12,4.00,18.0,-,-,-,-
K Bhurtel,2021-2024,32,4,25,-,19,3,1/0,6.33,4.56,8.3,-,-,23,-
A Bohara,2019-2024,51,50,1044,2,1243,66,6/11,18.83,7.14,15.8,1,-,11,-
NB Budayair,2014-2014,4,-,0,-,-,-,-,-,-,-,-,-,-,-
S Dhakal,2022-2022,2,2,36,-,55,1,1/19,55,9.16,36.0,-,-,-,-
SM Dhakal,2023-2023,2,2,36,-,43,1,1/29,43,7.16,36.0,-,-,1,-
SP Gauchan,2014-2015,9,8,180,-,169,8,3/9,21.12,5.63,22.5,-,-,-,-
Gulsan Jha,2022-2024,18,14,240,-,255,12,2/11,21.25,6.37,20.0,-,-,7,-
S Jora,2019-2024,20,-,0,-,-,-,-,-,-,-,-,-,8,-
Karan KC,2015-2024,59,59,1185,5,1540,85,5/21,18.11,7.79,13.9,1,-,19,-
B Karki,2020-2020,1,1,24,1,6,1,1/6,6,1.50,24.0,-,-,-,-
A Karn,2015-2015,2,2,48,-,49,1,1/31,49,6.12,48.0,-,-,-,-
P Khadka,2014-2020,33,26,348,2,360,8,2/11,45,6.20,43.5,-,-,16,-
SP Khakurel,2014-2015,8,-,0,-,-,-,-,-,-,-,-,-,2,3
Kushal Malla,2019-2024,32,21,300,-,286,14,3/11,20.42,5.72,21.4,-,-,9,-
S Lamichhane,2018-2023,51,51,1169,5,1221,98,5/9,12.45,6.26,11.9,1,-,19,-
Lokesh Bam,2022-2022,8,-,0,-,-,-,-,-,-,-,-,-,2,-
RP Magar,2014-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,-
G Malla,2014-2022,45,-,0,-,-,-,-,-,-,-,-,-,23,-
AK Mandal,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,1,-
JK Mukhiya,2014-2022,10,10,156,-,168,10,3/18,16.8,6.46,15.6,-,-,3,-
D Nath,2022-2022,4,-,0,-,-,-,-,-,-,-,-,-,-,1
I Pandey,2019-2019,4,-,0,-,-,-,-,-,-,-,-,-,1,-
RK Paudel,2019-2024,38,6,71,-,87,5,2/30,17.4,7.35,14.2,-,-,20,-
Pratis GC,2023-2024,4,4,84,1,98,4,3/13,24.5,7.00,21.0,-,-,1,-
LN Rajbanshi,2018-2024,15,15,296,-,324,12,3/6,27,6.56,24.6,-,-,4,-
Rashid Khan,2019-2019,1,1,24,-,19,-,-,-,4.75,-,-,-,-,-
B Regmi,2014-2019,18,18,373,-,405,25,4/16,16.2,6.51,14.9,-,-,4,-
Sagar Pun,2014-2015,9,8,141,-,131,6,3/26,21.83,5.57,23.5,-,-,2,-
AK Sah,2018-2024,2,-,0,-,-,-,-,-,-,-,-,-,1,-
P Sarraf,2019-2022,17,10,120,1,117,3,1/3,39,5.85,40.0,-,-,8,-
A Saud,2022-2022,3,-,0,-,-,-,-,-,-,-,-,-,2,2
Shahab Alam,2021-2022,6,6,108,-,166,4,1/15,41.5,9.22,27.0,-,-,2,-
Sompal Kami,2014-2024,59,59,1126,4,1325,54,3/20,24.53,7.06,20.8,-,-,22,-
S Vesawkar,2014-2022,20,2,30,-,41,-,-,-,8.20,-,-,-,9,-
B Yadav,2022-2024,14,5,36,-,58,1,1/14,58,9.66,36.0,-,-,4,-
